timestamp,test-class,test-method,time,description,result
2021-12-05 17:38:42.712,administrator.AdministratorConfigurationUpdateTest,updatePositiveTests,9669,"[1] recordIndex=0, words=sex, hard core, viagra, cialis, nigeria, you've won, million dollar, threshold=0.20, language=English",OK
2021-12-05 17:38:52.517,administrator.AdministratorConfigurationUpdateTest,updatePositiveTests,9443,"[2] recordIndex=0, words=sex, hard core, viagra, cialis, nigeria, you've won, threshold=0.10, language=English",OK
2021-12-05 17:39:01.653,administrator.AdministratorConfigurationUpdateTest,updatePositiveTests,8657,"[3] recordIndex=0, words=sex, hard core, viagra, cialis, nigeria, you've won, million dollar, blood, threshold=0.20, language=English",OK
2021-12-05 17:39:11.638,administrator.AdministratorConfigurationUpdateTest,updatePositiveTests,9579,"[4] recordIndex=1, words=sexo, duro, viagra, cialis, nigeria, has ganado, millón de dolares, threshold=0.20, language=Español",OK
2021-12-05 17:39:20.587,administrator.AdministratorConfigurationUpdateTest,updatePositiveTests,8621,"[5] recordIndex=1, words=sexo, duro, viagra, cialis, nigeria, has ganado, millón de dolares, sangre, threshold=0.10, language=Español",OK
2021-12-05 17:39:28.958,administrator.AdministratorConfigurationUpdateTest,updatePositiveTests,8085,"[6] recordIndex=1, words=sexo, duro, viagra, cialis, nigeria, threshold=0.10, language=Español",OK
2021-12-05 17:39:36.152,administrator.AdministratorConfigurationUpdateTest,updateNegativeTests,6830,"[1] recordIndex=0, words=sex, hard core, viagra, cialis, nigeria, you've won, threshold=-2, language=English",OK
2021-12-05 17:39:43.353,administrator.AdministratorConfigurationUpdateTest,updateNegativeTests,6905,"[2] recordIndex=0, words=sex, hard core, viagra, cialis, nigeria, you've won, threshold=2, language=English",OK
2021-12-05 17:39:50.436,administrator.AdministratorConfigurationUpdateTest,updateNegativeTests,6691,"[3] recordIndex=0, words=sex, hard core, viagra, cialis, nigeria, you've won, threshold=null, language=English",OK
2021-12-05 17:39:57.574,administrator.AdministratorConfigurationUpdateTest,updateNegativeTests,6840,"[4] recordIndex=1, words=sexo, duro, viagra, cialis, nigeria, has ganado, millón de dolares, threshold=-2, language=Español",OK
2021-12-05 17:40:04.833,administrator.AdministratorConfigurationUpdateTest,updateNegativeTests,6899,"[5] recordIndex=1, words=sexo, duro, viagra, cialis, nigeria, has ganado, millón de dolares, threshold=2, language=Español",OK
