timestamp,test-class,test-method,time,description,result
2021-12-05 18:57:06.876,acme.testing.officer.duty.OfficerDutyCreateTest,createPositiveIsPublic,7141,"[1] recordIndex=4, title=Go to Mercadona, startTime=2021/11/29 11:00, endTime=2021/11/29 13:00, workload=0.50, description=Compra Huevos y jamon porfa, info=https://example.org/",Record index 4 is out of range
2021-12-05 18:57:14.409,acme.testing.officer.duty.OfficerDutyCreateTest,createPositiveIsPrivate,7171,"[1] recordIndex=4, title=Go to Mercadona, startTime=2021/11/29 11:00, endTime=2021/11/29 13:00, workload=0.50, description=Compra Huevos y jamon porfa, info=https://example.org/",Record index 4 is out of range
2021-12-05 18:57:22.083,acme.testing.officer.duty.OfficerDutyCreateTest,createNegative,7307,"[1] recordIndex=0, title=null, startTime=2021/10/29 11:00, endTime=2021/10/29 13:00, workload=0.50, description=Compra Huevos y jamon porfa, info=https://example.org/",OK
2021-12-05 18:57:30.03,acme.testing.officer.duty.OfficerDutyCreateTest,createNegative,7594,"[2] recordIndex=0, title=Go to Mercadona, startTime=null, endTime=2021/10/29 13:00, workload=0.50, description=Compra Huevos y jamon porfa, info=https://example.org/",OK
2021-12-05 18:57:42.368,acme.testing.officer.duty.OfficerDutyCreateTest,createNegative,11949,"[3] recordIndex=0, title=Go to Mercadona, startTime=2021/10/29 11:00, endTime=null, workload=0.50, description=Compra Huevos y jamon porfa, info=https://example.org/",OK
2021-12-05 18:57:51.08,acme.testing.officer.duty.OfficerDutyCreateTest,createNegative,8175,"[4] recordIndex=0, title=Go to Mercadona, startTime=2021/10/29 11:00, endTime=2021/10/29 13:00, workload=null, description=Compra Huevos y jamon porfa, info=https://example.org/",OK
2021-12-05 18:57:59.085,acme.testing.officer.duty.OfficerDutyCreateTest,createNegative,7720,"[5] recordIndex=0, title=Go to Mercadona, startTime=2021/10/29 11:00, endTime=2021/10/29 13:00, workload=0.50, description=null, info=https://example.org/",OK
2021-12-05 18:58:07.275,acme.testing.officer.duty.OfficerDutyCreateTest,createNegative,7835,"[6] recordIndex=0, title=4kEGLCZ11in6lMnACksASkgz0qgFxAg7WNcQfPd8LY2o7XOEYseFIl3BBhmlQbMR8fJNjGiuK7AS7ynMA3FcCPB8UM, startTime=2021/10/29 11:00, endTime=2021/10/29 13:00, workload=0.50, description=Compra Huevos y jamon porfa, info=https://example.org/",OK
2021-12-05 18:58:15.097,acme.testing.officer.duty.OfficerDutyCreateTest,createNegative,7481,"[7] recordIndex=0, title=Go to Mercadona, startTime=2020/10/29 11:00, endTime=2021/10/29 13:00, workload=0.50, description=Compra Huevos y jamon porfa, info=https://example.org/",OK
2021-12-05 18:58:23.472,acme.testing.officer.duty.OfficerDutyCreateTest,createNegative,7917,"[8] recordIndex=0, title=Go to Mercadona, startTime=2020/10/29 11:00, endTime=2020/10/29 13:00, workload=0.50, description=Compra Huevos y jamon porfa, info=https://example.org/",OK
2021-12-05 18:58:31.526,acme.testing.officer.duty.OfficerDutyCreateTest,createNegative,7663,"[9] recordIndex=0, title=Go to Mercadona, startTime=2021/10/29 11:00, endTime=2021/10/28 13:00, workload=0.50, description=Compra Huevos y jamon porfa, info=https://example.org/",OK
2021-12-05 18:58:39.231,acme.testing.officer.duty.OfficerDutyCreateTest,createNegative,7330,"[10] recordIndex=0, title=Go to Mercadona, startTime=2021/10/29 11:00, endTime=2021/10/29 13:00, workload=50, description=Compra Huevos y jamon porfa, info=https://example.org/",OK
2021-12-05 18:58:48.078,acme.testing.officer.duty.OfficerDutyCreateTest,createNegative,8460,"[11] recordIndex=0, title=Go to Mercadona, startTime=2021/10/29 11:00, endTime=2021/10/29 13:00, workload=0.50, description=8KjqE4LanMbAMbJ9SD6ZmQlLqfXTrUZRtyJ0xHVVoMQt9sdi1v5gXhAPZvkM0csMUhTM1Pw910gY3eiEB6k0h7Azt5zxdW3y4NEJo0hZ1GaxnvXbD5b4qGDcj1njjW07Jc54Hq0GxrBsxyMRhvqJAU1RGqBhMGSf1fKUmi19EolIBlEJIzoXV4Tbku1apNVbtd6KxfFW3E8lhWbe3pmKiocMJ73c4EKpnEsMo2lVSAinVHKHT5OsRM27VBZ9VIqQk61m6O53KpO5tMrTjgQcRQU89ssLOxCkyURH8CHOUEX7ioJip4wibusfznx3lHZd2MI5DfKMYwGJmH2W2WAGUY3hMvyZMDBNRTTPp5xdGAtuq2IrAqFaVukBXCQu12zW1GOdznsvTeIe3qvIbADER2peIvaZ5IFBCy8imFuy6Ww3XiITedhwXjyXWzV3pTIq2cHD4fZsm4HP3p6yR43k7Ucp9q0DzWF7GEHCO3eMwLWEmROMdRxE5v6udJ44kld…, info=https://example.org/",OK
2021-12-05 18:58:55.993,acme.testing.officer.duty.OfficerDutyCreateTest,createNegative,7430,"[12] recordIndex=0, title=Go to Mercadona, startTime=2021/10/29 11:00, endTime=2021/10/29 13:00, workload=0.50, description=Compra Huevos y jamon porfa, info=aaaaaaaaa",OK
2021-12-05 18:59:04.1,acme.testing.officer.duty.OfficerDutyCreateTest,createNegative,7660,"[13] recordIndex=0, title=Go to Mercadona, startTime=2021/10/29 11:00, endTime=2021/10/29 13:00, workload=0.5, description=you've won two million dollar, info=https://example.org/",OK
