timestamp,test-class,test-method,time,description,result
2021-12-14 17:43:49.467,acme.testing.authenticated.duty.AuthenticatedDutyListAndShowTest,listAndShowTest,139780,"[1] recordIndex=0, title=Trying a little test",OK
2021-12-14 17:43:53.672,acme.testing.authenticated.duty.AuthenticatedDutyListAndShowTest,listAndShowNegativeTest,3908,"[1] ",OK
2021-12-14 17:44:08.906,administrator.AdministratorConfigurationListTest,listAndShowTest,5389,"[1] recordIndex=0, words=sex, hard core, viagra, cialis, nigeria, you've won, million dollar, threshold=0.10, language=English",OK
2021-12-14 17:44:14.514,administrator.AdministratorConfigurationListTest,listAndShowTest,5343,"[2] recordIndex=1, words=sexo, duro, viagra, cialis, nigeria, has ganado, millón de dolares, threshold=0.10, language=Español",OK
2021-12-14 17:44:32.796,administrator.AdministratorConfigurationUpdateTest,updatePositiveTests,7423,"[1] recordIndex=0, words=sex, hard core, viagra, cialis, nigeria, you've won, million dollar, threshold=0.20, language=English",OK
2021-12-14 17:44:39.901,administrator.AdministratorConfigurationUpdateTest,updatePositiveTests,6854,"[2] recordIndex=0, words=sex, hard core, viagra, cialis, nigeria, you've won, threshold=0.10, language=English",OK
2021-12-14 17:44:47.013,administrator.AdministratorConfigurationUpdateTest,updatePositiveTests,6849,"[3] recordIndex=0, words=sex, hard core, viagra, cialis, nigeria, you've won, million dollar, blood, threshold=0.20, language=English",OK
2021-12-14 17:44:54.115,administrator.AdministratorConfigurationUpdateTest,updatePositiveTests,6826,"[4] recordIndex=1, words=sexo, duro, viagra, cialis, nigeria, has ganado, millón de dolares, threshold=0.20, language=Español",OK
2021-12-14 17:45:01.229,administrator.AdministratorConfigurationUpdateTest,updatePositiveTests,6853,"[5] recordIndex=1, words=sexo, duro, viagra, cialis, nigeria, has ganado, millón de dolares, sangre, threshold=0.10, language=Español",OK
2021-12-14 17:45:08.316,administrator.AdministratorConfigurationUpdateTest,updatePositiveTests,6820,"[6] recordIndex=1, words=sexo, duro, viagra, cialis, nigeria, threshold=0.10, language=Español",OK
2021-12-14 17:45:14.513,administrator.AdministratorConfigurationUpdateTest,updateNegativeTests,5929,"[1] recordIndex=0, words=sex, hard core, viagra, cialis, nigeria, you've won, threshold=-2, language=English",OK
2021-12-14 17:45:20.944,administrator.AdministratorConfigurationUpdateTest,updateNegativeTests,6149,"[2] recordIndex=0, words=sex, hard core, viagra, cialis, nigeria, you've won, threshold=2, language=English",OK
2021-12-14 17:45:27.038,administrator.AdministratorConfigurationUpdateTest,updateNegativeTests,5801,"[3] recordIndex=0, words=sex, hard core, viagra, cialis, nigeria, you've won, threshold=null, language=English",OK
2021-12-14 17:45:33.111,administrator.AdministratorConfigurationUpdateTest,updateNegativeTests,5826,"[4] recordIndex=1, words=sexo, duro, viagra, cialis, nigeria, has ganado, millón de dolares, threshold=-2, language=Español",OK
