timestamp,simple-path,time
2021-12-05 18:59:32.538,/master/welcome,716
2021-12-05 18:59:32.989,/master/welcome,382
2021-12-05 18:59:33.901,/master/sign-in,654
2021-12-05 18:59:35.516,/master/welcome,656
2021-12-05 18:59:55.566,/master/welcome,273
2021-12-05 18:59:56.338,/master/welcome,634
2021-12-05 18:59:56.813,/master/welcome,319
2021-12-05 18:59:57.148,/master/welcome,274
2021-12-05 18:59:57.439,/master/welcome,251
2021-12-05 18:59:58.243,/master/sign-in,604
2021-12-05 18:59:59.718,/master/welcome,623
2021-12-05 19:00:00.643,/officer/duty/create,639
2021-12-05 19:00:02.967,/officer/duty/create,626
2021-12-05 19:00:03.812,/officer/duty/list,626
