timestamp,test-class,test-method,time,description,result
2021-09-10 10:28:07.284,acme.testing.anonymous.shout.AnonymousShoutListTest,listAll,2215,"[1] recordIndex=0, moment=2021/09/01 19:39, author=John Doe, text=I'm happy!, prate=2109/05-12345",OK
2021-09-10 10:28:09.207,acme.testing.anonymous.shout.AnonymousShoutListTest,listAll,1660,"[2] recordIndex=1, moment=2021/09/01 15:55, author=Jane Doe, text=I'm the master of my room!, prate=2109/05-12346",OK
2021-09-10 10:28:11.117,acme.testing.anonymous.shout.AnonymousShoutListTest,listAll,1664,"[3] recordIndex=2, moment=2021/09/01 00:00, author=Foo Bar, text=Just turning 50!, prate=2109/05-12347",OK
2021-09-10 10:28:23.838,acme.testing.anonymous.shout.AnonymousShoutCreateTest,createNegative,3186,"[1] recordIndex=0, author=null, text=Draco dormiens nunquam titillandus, info=https://www.oracle.com/es/index.html, deadline=2021/10/03 00:00, budget=EUR 21.92",OK
2021-09-10 10:28:26.515,acme.testing.anonymous.shout.AnonymousShoutCreateTest,createNegative,2352,"[2] recordIndex=1, author=Albus Dumbledore, text=null, info=https://www.oracle.com/es/index.html, deadline=2021/10/03 00:00, budget=EUR 21.92",OK
2021-09-10 10:28:29.122,acme.testing.anonymous.shout.AnonymousShoutCreateTest,createNegative,2352,"[3] recordIndex=2, author=Albus Dumbledore, text=Draco dormiens nunquam titillandus, info=https://www.oracle.com/es/index.html, deadline=null, budget=EUR 21.92",OK
2021-09-10 10:28:31.715,acme.testing.anonymous.shout.AnonymousShoutCreateTest,createNegative,2353,"[4] recordIndex=3, author=Albus Dumbledore, text=Draco dormiens nunquam titillandus, info=https://www.oracle.com/es/index.html, deadline=2021/10/03 00:00, budget=null",OK
2021-09-10 10:28:34.313,acme.testing.anonymous.shout.AnonymousShoutCreateTest,createNegative,2347,"[5] recordIndex=4, author=Alb, text=Draco dormiens nunquam titillandus, info=https://www.oracle.com/es/index.html, deadline=2021/10/03 00:00, budget=EUR 21.92",OK
2021-09-10 10:28:36.926,acme.testing.anonymous.shout.AnonymousShoutCreateTest,createNegative,2361,"[6] recordIndex=5, author=Albus Dumbledore the greates wizard in all the entire world, text=Draco dormiens nunquam titillandus, info=https://www.oracle.com/es/index.html, deadline=2021/10/03 00:00, budget=EUR 21.92",OK
2021-09-10 10:28:39.705,acme.testing.anonymous.shout.AnonymousShoutCreateTest,createNegative,2537,"[7] recordIndex=6, author=Albus Dumbledore, text=Lorem ipsum dolor sit amet, consectetur adipiscing elit. Donec cursus ut sapien ac porttitor. Proin quis porta eros. Curabitur sodales iaculis tellus, eu interdum velit hendrerit laoreet. Quisque dui libero, viverra a posuere mattis, congue sit amet nibh. Curabitur ac molestie lacus. Pellentesque velit enim, euismod non sodales a, molestie id tortor. Pellentesque vitae mauris hendrerit, commodo tellus vitae, euismod nisi. Aenean feugiat ultrices metus vel eleifend. Donec quis luctus augue, vitae consectetu…, info=https://www.oracle.com/es/index.html, deadline=2021/10/03 00:00, budget=EUR 21.92",OK
