timestamp,test-class,test-method,time,description,result
2021-09-10 11:30:45.664,acme.testing.anonymous.shout.AnonymousShoutListTest,listAll,1676,"[1] recordIndex=0, moment=2021/09/01 19:39, author=John Doe, text=I'm happy!, prate=2109/05-12345",OK
2021-09-10 11:30:47.598,acme.testing.anonymous.shout.AnonymousShoutListTest,listAll,1674,"[2] recordIndex=1, moment=2021/09/01 15:55, author=Jane Doe, text=I'm the master of my room!, prate=2109/05-12346",OK
2021-09-10 11:30:49.528,acme.testing.anonymous.shout.AnonymousShoutListTest,listAll,1689,"[3] recordIndex=2, moment=2021/09/01 00:00, author=Foo Bar, text=Just turning 50!, prate=2109/05-12347",OK
2021-09-10 11:31:30.816,acme.testing.anonymous.shout.AnonymousShoutCreateTest,createNegative,31739,"[1] recordIndex=0, author=null, text=Draco dormiens nunquam titillandus, info=https://www.oracle.com/es/index.html, deadline=2021/10/03 00:00, budget=EUR 21.92",Cannot find 'By.name: marker'
2021-09-10 11:32:02.243,acme.testing.anonymous.shout.AnonymousShoutCreateTest,createNegative,31147,"[2] recordIndex=1, author=Albus Dumbledore, text=null, info=https://www.oracle.com/es/index.html, deadline=2021/10/03 00:00, budget=EUR 21.92",Cannot find 'By.name: marker'
2021-09-10 11:32:33.697,acme.testing.anonymous.shout.AnonymousShoutCreateTest,createNegative,31183,"[3] recordIndex=2, author=Albus Dumbledore, text=Draco dormiens nunquam titillandus, info=https://www.oracle.com/es/index.html, deadline=null, budget=EUR 21.92",Cannot find 'By.name: marker'
2021-09-10 11:33:05.109,acme.testing.anonymous.shout.AnonymousShoutCreateTest,createNegative,31143,"[4] recordIndex=3, author=Albus Dumbledore, text=Draco dormiens nunquam titillandus, info=https://www.oracle.com/es/index.html, deadline=2021/10/03 00:00, budget=null",Cannot find 'By.name: marker'
2021-09-10 11:33:36.545,acme.testing.anonymous.shout.AnonymousShoutCreateTest,createNegative,31166,"[5] recordIndex=4, author=Alb, text=Draco dormiens nunquam titillandus, info=https://www.oracle.com/es/index.html, deadline=2021/10/03 00:00, budget=EUR 21.92",Cannot find 'By.name: marker'
2021-09-10 11:34:08.009,acme.testing.anonymous.shout.AnonymousShoutCreateTest,createNegative,31194,"[6] recordIndex=5, author=Albus Dumbledore the greates wizard in all the entire world, text=Draco dormiens nunquam titillandus, info=https://www.oracle.com/es/index.html, deadline=2021/10/03 00:00, budget=EUR 21.92",Cannot find 'By.name: marker'
2021-09-10 11:34:39.593,acme.testing.anonymous.shout.AnonymousShoutCreateTest,createNegative,31315,"[7] recordIndex=6, author=Albus Dumbledore, text=Lorem ipsum dolor sit amet, consectetur adipiscing elit. Donec cursus ut sapien ac porttitor. Proin quis porta eros. Curabitur sodales iaculis tellus, eu interdum velit hendrerit laoreet. Quisque dui libero, viverra a posuere mattis, congue sit amet nibh. Curabitur ac molestie lacus. Pellentesque velit enim, euismod non sodales a, molestie id tortor. Pellentesque vitae mauris hendrerit, commodo tellus vitae, euismod nisi. Aenean feugiat ultrices metus vel eleifend. Donec quis luctus augue, vitae consectetu…, info=https://www.oracle.com/es/index.html, deadline=2021/10/03 00:00, budget=EUR 21.92",Cannot find 'By.name: marker'
2021-09-10 11:35:11.026,acme.testing.anonymous.shout.AnonymousShoutCreateTest,createNegative,31163,"[8] recordIndex=7, author=Albus Dumbledore, text=Draco dormiens nunquam titillandus, info=hola, deadline=2021/10/03 00:00, budget=EUR 21.92",Cannot find 'By.name: marker'
2021-09-10 11:35:42.462,acme.testing.anonymous.shout.AnonymousShoutCreateTest,createNegative,31186,"[9] recordIndex=8, author=Albus Dumbledore, text=Draco dormiens nunquam titillandus, info=https://www.oracle.com/es/index.html, deadline=2021/10/03, budget=EUR 21.92",Cannot find 'By.name: marker'
